Name of Primary Health Center,PHC LGA,State of PHC_x,Check for any of these building failures./Broken Celling,Check for any of these building failures./Damaged Chairs,Check for any of these building failures./Damaged Door,Which of these Equipment are Available Labor Ward(Delivery Bed)?,Does the PHC have these Areas within the Premises(Functional Pharmacy)?,Does the PHC have these Areas within the Premises(Intensive Care Unit)?,Check for any of these building failures./Damaged/Leaking roofs,Which of these Equipment are Available Labor Ward(Fetal Heart Rate Monitor)?,Which of these Equipment are Available Labor Ward(Neo-Natal Resuscitation Equipment)?,How is Hospital Waste Disposed?,Specify Other Ways of Disposing Waste by the PHC?,Does the health care center have a well-built and Maintained structure ?,Any Dilapidated Hospital Building in the Premises of PHC ?,Does the center have clean and functional restrooms?,Number of Clean and Functional Restrooms?,Total Number of Hospital Beds,State of PHC_y,How many wards in Total do you
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,Yes,2.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,Yes,2.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,Yes,2.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,Yes,2.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,Yes,2.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,Yes,2.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,Yes,2.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,Yes,2.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,Yes,2.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,Yes,2.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,Yes,2.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,Yes,2.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,Yes,2.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,Yes,2.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,Yes,2.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,Yes,2.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,No,No,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,No,0.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Thrown in Bush,,Yes,Yes,Yes,2.0,Greater than 10,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,2,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,2,Taraba State,3
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,Greater than 10,Taraba State,1
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes,Yes,Yes,No,No,No,No,No,Sanitary Land Fill,,No,No,No,0.0,Greater than 10,Taraba State,3
